State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Coriander(Leaves),Other,FAQ,25/03/2025,2000,2750,2375
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Green Chilli",Other,FAQ,25/03/2025,2000,3750,2875
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Peas cod",Other,FAQ,25/03/2025,3000,3900,3450
Gujarat,Banaskanth,Dhanera,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,25/03/2025,2750,2950,2870
Gujarat,Banaskanth,Dhanera,"Isabgul (Psyllium)",Other,FAQ,25/03/2025,10855,13000,11940
Gujarat,Banaskanth,Dhanera,"Suva (Dill Seed)",Other,FAQ,25/03/2025,6750,8255,7610
Gujarat,Bharuch,Ankleshwar,"Bottle gourd","Bottle Gourd",FAQ,25/03/2025,500,1000,700
Gujarat,Bharuch,Ankleshwar,Cauliflower,Cauliflower,FAQ,25/03/2025,300,800,500
Gujarat,Bharuch,Ankleshwar,Ginger(Green),"Green Ginger",FAQ,25/03/2025,2000,3500,2500
Gujarat,Bharuch,Bharuch,"Banana - Green",Other,FAQ,25/03/2025,600,800,700
Gujarat,Bharuch,Bharuch,Cabbage,Other,FAQ,25/03/2025,400,700,500
Gujarat,Bharuch,Bharuch,Grapes,Other,Medium,25/03/2025,2500,4000,3500
Gujarat,Bharuch,Jambusar,"Castor Seed",Other,FAQ,25/03/2025,5400,5800,5600
Gujarat,Bhavnagar,Bhavnagar,"Bengal Gram(Gram)(Whole)",Other,FAQ,25/03/2025,4805,6095,5450
Gujarat,Bhavnagar,Bhavnagar,Soyabean,Other,Non-FAQ,25/03/2025,3690,3690,3690
Gujarat,Bhavnagar,"Mahuva(Station Road)","Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,25/03/2025,2190,3405,3000
Gujarat,Bhavnagar,"Mahuva(Station Road)","Cummin Seed(Jeera)",Other,FAQ,25/03/2025,5000,19475,12240
Gujarat,Bhavnagar,"Mahuva(Station Road)",Groundnut,G20,FAQ,25/03/2025,4900,5375,5150
Gujarat,Bhavnagar,Taleja,"Bengal Gram(Gram)(Whole)",Other,FAQ,25/03/2025,4500,5225,4865
Gujarat,"Chhota Udaipur",Kalediya,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,25/03/2025,7000,7400,7200
Gujarat,Dahod,Dahod,"Arhar (Tur/Red Gram)(Whole)",Other,Non-FAQ,25/03/2025,6100,6200,6150
Gujarat,Dahod,Dahod,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,25/03/2025,5300,5300,5300
Gujarat,Dahod,Dahod,Maize,"White (SAFED)",FAQ,25/03/2025,2275,3100,2850
Gujarat,Dahod,"Dahod(Veg. Market)",Cabbage,Cabbage,FAQ,25/03/2025,200,800,700
Gujarat,Dahod,"Dahod(Veg. Market)",Garlic,Other,FAQ,25/03/2025,7000,10000,8000
Gujarat,Dahod,"Dahod(Veg. Market)","Green Chilli","Green Chilly",FAQ,25/03/2025,1000,5000,4000
Gujarat,Dahod,"Dahod(Veg. Market)","Little gourd (Kundru)",Other,FAQ,25/03/2025,2500,5000,4000
Gujarat,Gandhinagar,Mansa,Mustard,Mustard,FAQ,25/03/2025,4925,5260,5175
Gujarat,Gandhinagar,Mansa,Wheat,Medium,FAQ,25/03/2025,2350,2880,2625
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Guar,Other,FAQ,25/03/2025,8000,8000,8000
Gujarat,"Gir Somnath",Talalagir,"Bhindi(Ladies Finger)",Other,FAQ,25/03/2025,2000,4000,3000
Gujarat,"Gir Somnath",Talalagir,"Green Chilli",Other,FAQ,25/03/2025,2000,4500,3000
Gujarat,"Gir Somnath",Veraval,Wheat,"Medium Fine",FAQ,25/03/2025,2425,2585,2510
Gujarat,Junagarh,Junagadh,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,25/03/2025,6500,7230,6900
Gujarat,Junagarh,Junagadh,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,25/03/2025,6500,10200,9000
Gujarat,Junagarh,Junagadh,Soyabean,Soyabeen,FAQ,25/03/2025,3400,4005,3700
Gujarat,Kheda,Kapadvanj,Cauliflower,Other,FAQ,25/03/2025,700,800,720
Gujarat,Kheda,Nadiyad(Piplag),Brinjal,Brinjal,FAQ,25/03/2025,300,400,350
Gujarat,Kheda,Nadiyad(Piplag),Carrot,Carrot,FAQ,25/03/2025,900,1000,950
Gujarat,Kheda,Nadiyad(Piplag),Tomato,Tomato,FAQ,25/03/2025,500,600,550
Gujarat,Mehsana,Mehsana(Jornang),Mustard,Mustard,Non-FAQ,25/03/2025,5105,5305,5250
Gujarat,Mehsana,"Mehsana(Mehsana Veg)","Green Chilli","Green Chilly",FAQ,25/03/2025,1300,4500,2750
Gujarat,Mehsana,Unava,"Castor Seed","Castor seed",FAQ,25/03/2025,5500,6425,6410
Gujarat,Mehsana,Vijapur(Gojjariya),"Castor Seed",Other,FAQ,25/03/2025,6110,6265,6225
Gujarat,Mehsana,Visnagar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,25/03/2025,2400,2750,2575
Gujarat,Mehsana,Visnagar,Mustard,Other,FAQ,25/03/2025,5055,5910,5482
Gujarat,Mehsana,Visnagar,Wheat,Other,FAQ,25/03/2025,2300,2730,2515
Gujarat,Morbi,Morbi,"Castor Seed","Castor seed",FAQ,25/03/2025,5965,6155,6060
Gujarat,Morbi,Morbi,Cucumbar(Kheera),Cucumbar,FAQ,25/03/2025,2500,3000,2750
Gujarat,Morbi,Morbi,Tomato,Tomato,FAQ,25/03/2025,500,700,600
Gujarat,Morbi,Vankaner,"Corriander seed",Other,FAQ,25/03/2025,6350,9250,6750
Gujarat,Morbi,Vankaner,Soanf,Soanf,FAQ,25/03/2025,6700,15005,11750
Gujarat,Narmada,Rajpipla,Cotton,"Cotton (Unginned)",FAQ,25/03/2025,6840,7415,7220
Gujarat,Navsari,Bilimora,Brinjal,Other,FAQ,25/03/2025,500,1000,800
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,25/03/2025,1750,2750,2250
Gujarat,Navsari,Navsari,"Bhindi(Ladies Finger)",Bhindi,FAQ,25/03/2025,3500,4000,3750
Gujarat,Navsari,Navsari,"Bottle gourd","Bottle Gourd",FAQ,25/03/2025,900,1500,1200
Gujarat,Navsari,Navsari,"Cluster beans","Cluster Beans",FAQ,25/03/2025,5500,6000,5750
Gujarat,Navsari,Navsari,"Pointed gourd (Parval)",Other,FAQ,25/03/2025,5000,6000,5500
Gujarat,Panchmahals,Gogamba,Maize,"Deshi Red",FAQ,25/03/2025,2500,2600,2550
Gujarat,Panchmahals,Gogamba(Similiya),"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,25/03/2025,7000,7500,7250
Gujarat,Panchmahals,Gogamba(Similiya),Maize,"Deshi Red",FAQ,25/03/2025,2400,2600,2500
Gujarat,Porbandar,Porbandar,Pomegranate,Other,Large,25/03/2025,5000,10000,7500
Gujarat,Porbandar,Porbandar,"Water Melon","Water Melon",Large,25/03/2025,1000,1500,1250
Gujarat,Rajkot,Dhoraji,"Corriander seed","Full Green",FAQ,25/03/2025,6055,7005,6905
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Apple,Apple,Medium,25/03/2025,7000,15000,11000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Carrot,Carrot,FAQ,25/03/2025,500,1000,750
Gujarat,Rajkot,"Gondal(Veg.market Gondal)","Green Chilli","Green Chilly",FAQ,25/03/2025,1000,2000,1500
Gujarat,Rajkot,Jetpur(Dist.Rajkot),"Corriander seed","Full Green",FAQ,25/03/2025,6005,8305,7155
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Groundnut,Other,FAQ,25/03/2025,3555,5355,5155
Gujarat,Rajkot,Rajkot,Jowar(Sorghum),"Jowar ( White)",FAQ,25/03/2025,3605,4900,4225
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Cluster beans","Cluster Beans",FAQ,25/03/2025,6000,9000,7500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Ginger(Green),"Green Ginger",FAQ,25/03/2025,3750,5000,4375
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Green Chilli","Green Chilly",FAQ,25/03/2025,2000,3000,2500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Lemon,Lemon,FAQ,25/03/2025,6500,13500,10000
Gujarat,Sabarkantha,Himatnagar,"Castor Seed","Castor seed",FAQ,25/03/2025,6200,6315,6300
Gujarat,Sabarkantha,Himatnagar,Groundnut,JL-24,Non-FAQ,25/03/2025,5275,6120,6000
Gujarat,Sabarkantha,Himatnagar,Mustard,Mustard,Non-FAQ,25/03/2025,5050,5305,5200
Gujarat,Sabarkantha,Talod,Soanf,Other,FAQ,25/03/2025,6000,22300,14150
Gujarat,Sabarkantha,Talod,Wheat,Other,FAQ,25/03/2025,2450,2830,2640
Gujarat,Sabarkantha,Vadali,Mustard,Other,Non-FAQ,25/03/2025,5150,5370,5260
Gujarat,Sabarkantha,Vadali,Wheat,Other,FAQ,25/03/2025,2425,2850,2637
Gujarat,Surat,Surat,"Bhindi(Ladies Finger)",Other,FAQ,25/03/2025,1500,4000,2750
Gujarat,Surat,Surat,Capsicum,Other,FAQ,25/03/2025,1200,2800,2000
Gujarat,Surat,Surat,"Groundnut pods (raw)",Other,FAQ,25/03/2025,4000,5500,4750
Gujarat,Surat,Surat,"Indian Beans (Seam)",Other,FAQ,25/03/2025,3000,5500,4250
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,FAQ,25/03/2025,3000,6500,4750
Gujarat,Surendranagar,Vadhvan,Cucumbar(Kheera),Cucumbar,FAQ,25/03/2025,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,Drumstick,Drumstick,FAQ,25/03/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,Guar,Gwar,FAQ,25/03/2025,8000,8500,8250
Gujarat,Surendranagar,Vadhvan,Lemon,Lemon,FAQ,25/03/2025,10500,11500,11000
Gujarat,Surendranagar,Vadhvan,"Onion Green","Onion Green",FAQ,25/03/2025,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,25/03/2025,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,Tomato,Tomato,FAQ,25/03/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,"Water Melon","Water Melon",Medium,25/03/2025,1000,1500,1250
Gujarat,Vadodara(Baroda),Padra,"Bottle gourd",Other,FAQ,25/03/2025,1000,2000,1500
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,FAQ,25/03/2025,750,1250,1000
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,25/03/2025,700,750,725
Gujarat,Valsad,Pardi(Motavagachiya),Chikoos(Sapota),Other,Large,25/03/2025,3000,3200,3200
Haryana,Ambala,Barara,Grapes,Other,Medium,25/03/2025,3500,7000,7000
Haryana,Ambala,Barara,Papaya,Other,Medium,25/03/2025,2500,4000,2800
Haryana,Ambala,Barara,Pomegranate,Other,Medium,25/03/2025,11000,11000,11000
Haryana,Ambala,Barara,Raddish,Other,FAQ,25/03/2025,300,500,500
Haryana,Ambala,Naraingarh,Potato,Potato,FAQ,25/03/2025,406,518,470
Haryana,Ambala,Shahzadpur,Lemon,Other,FAQ,25/03/2025,8000,8000,8000
Haryana,Ambala,Shahzadpur,Pumpkin,Pumpkin,FAQ,25/03/2025,1100,1100,1100
Haryana,Bhiwani,Loharu,Mustard,Other,FAQ,25/03/2025,5950,5950,5950
Haryana,Fatehabad,Jakhal,Cauliflower,"African Sarson",FAQ,25/03/2025,800,800,800
Haryana,Fatehabad,Jakhal,Onion,Other,FAQ,25/03/2025,1500,1800,1800
Haryana,Gurgaon,Gurgaon,"Bottle gourd","Bottle Gourd",FAQ,25/03/2025,800,1000,900
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,25/03/2025,800,1200,1000
Haryana,Gurgaon,Gurgaon,"Karbuja(Musk Melon)",Other,Large,25/03/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,25/03/2025,1500,3000,2250
Haryana,Gurgaon,Gurgaon,Onion,Other,Non-FAQ,25/03/2025,1500,2500,2000
Haryana,Gurgaon,Sohna,Potato,Potato,FAQ,25/03/2025,1000,1200,1100
Haryana,Hissar,Barwala(Hisar),Ber(Zizyphus/Borehannu),Other,Medium,25/03/2025,1800,2000,1900
Haryana,Hissar,Barwala(Hisar),Capsicum,Capsicum,FAQ,25/03/2025,1600,1800,1700
Haryana,Hissar,Barwala(Hisar),Carrot,Other,FAQ,25/03/2025,500,600,600
Haryana,Hissar,Barwala(Hisar),Garlic,Average,FAQ,25/03/2025,5000,6000,5500
Haryana,Hissar,Barwala(Hisar),Grapes,Other,Medium,25/03/2025,5000,6000,5500
Haryana,Hissar,Barwala(Hisar),Guava,Other,Medium,25/03/2025,3500,4000,3800
Haryana,Hissar,Barwala(Hisar),"Peas Wet",Other,FAQ,25/03/2025,2000,2500,2400
Haryana,Hissar,Barwala(Hisar),Potato,Other,FAQ,25/03/2025,800,1000,900
Haryana,Hissar,Barwala(Hisar),Raddish,Other,FAQ,25/03/2025,500,600,600
Haryana,Hissar,Hansi,Apple,Other,Medium,25/03/2025,8000,12000,10000
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,25/03/2025,1000,2000,1500
Haryana,Hissar,Hansi,Carrot,Other,FAQ,25/03/2025,600,1000,800
Haryana,Hissar,Hansi,Lemon,Other,FAQ,25/03/2025,6000,10000,8000
Haryana,Hissar,Hansi,Orange,Other,Medium,25/03/2025,6000,10000,8000
Haryana,Hissar,Hansi,Raddish,Other,FAQ,25/03/2025,1500,1500,1500
Haryana,Hissar,Hansi,Tinda,Other,FAQ,25/03/2025,400,600,500
Haryana,Jhajar,Bahadurgarh,"Bottle gourd",Other,FAQ,25/03/2025,800,1000,900
Haryana,Jhajar,Bahadurgarh,Brinjal,Other,FAQ,25/03/2025,1200,1600,1400
Haryana,Jhajar,Bahadurgarh,Cucumbar(Kheera),Other,FAQ,25/03/2025,1000,1300,1200
Haryana,Jhajar,Bahadurgarh,Garlic,Other,FAQ,25/03/2025,7000,8000,7500
Haryana,Jhajar,Bahadurgarh,Grapes,Other,Medium,25/03/2025,6500,8000,7000
Haryana,Jhajar,Bahadurgarh,"Karbuja(Musk Melon)",Other,Medium,25/03/2025,1800,2000,1900
Haryana,Jhajar,Bahadurgarh,Onion,Other,FAQ,25/03/2025,1400,2200,2000
Haryana,Jhajar,Bahadurgarh,Raddish,Other,FAQ,25/03/2025,1000,1200,1100
Haryana,Jhajar,Bahadurgarh,Tinda,Other,FAQ,25/03/2025,800,1000,900
Haryana,Jind,Narwana,Banana,Other,Medium,25/03/2025,1600,1600,1600
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,25/03/2025,600,600,600
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,25/03/2025,6000,6000,6000
Haryana,Kaithal,Siwan,Carrot,Other,FAQ,25/03/2025,750,850,800
Haryana,Kaithal,Siwan,"Green Chilli",Other,FAQ,25/03/2025,4000,4100,4000
Haryana,Kaithal,Siwan,"Leafy Vegetable",Other,FAQ,25/03/2025,1100,1200,1200
Haryana,Kaithal,Siwan,"Squash(Chappal Kadoo)","Squash(Chappal Kadoo)",FAQ,25/03/2025,1100,1200,1200
Haryana,Kaithal,Siwan,Tomato,Other,FAQ,25/03/2025,700,850,800
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,25/03/2025,1500,2500,2500
Haryana,Karnal,Gharaunda,Potato,Other,FAQ,25/03/2025,800,1100,1100
Haryana,Karnal,Indri,Potato,Other,Non-FAQ,25/03/2025,470,490,490
Haryana,Kurukshetra,Shahabad,Carrot,Carrot,FAQ,25/03/2025,1400,1500,1400
Haryana,Kurukshetra,Shahabad,Cauliflower,Cauliflower,FAQ,25/03/2025,350,700,400
Haryana,Kurukshetra,Shahabad,Chikoos(Sapota),Sapota,Medium,25/03/2025,4000,4000,4000
Haryana,Kurukshetra,Shahabad,Cucumbar(Kheera),Cucumbar,FAQ,25/03/2025,800,1500,1000
Haryana,Kurukshetra,Shahabad,Kinnow,Kinnow,Medium,25/03/2025,5200,5200,5200
Haryana,Kurukshetra,Shahabad,"Mousambi(Sweet Lime)",Mousambi,Medium,25/03/2025,3000,3415,3200
Haryana,Kurukshetra,Shahabad,"Peas Wet","Peas Wet",FAQ,25/03/2025,2300,4000,3000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Ginger(Green),"Green Ginger",FAQ,25/03/2025,3500,4000,3500
Haryana,Mahendragarh-Narnaul,Mohindergarh,"Onion Green","Onion Green",FAQ,25/03/2025,1500,1500,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Apple,Apple,Medium,25/03/2025,10000,10000,10000
Haryana,Mahendragarh-Narnaul,Narnaul,"Bhindi(Ladies Finger)",Bhindi,FAQ,25/03/2025,4000,4000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,"Bottle gourd","Bottle Gourd",FAQ,25/03/2025,1000,1000,1000
Haryana,Mahendragarh-Narnaul,Narnaul,Capsicum,Capsicum,FAQ,25/03/2025,2000,3500,3500
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Coriander,FAQ,25/03/2025,1200,4000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,Grapes,Green,Medium,25/03/2025,5000,5000,5000
Haryana,Mahendragarh-Narnaul,Narnaul,Raddish,Raddish,FAQ,25/03/2025,1000,1000,1000
Haryana,Mewat,Punhana,Apple,Other,Medium,25/03/2025,10000,10000,10000
Haryana,Mewat,Punhana,Coriander(Leaves),Coriander,FAQ,25/03/2025,1500,1500,1500
Haryana,Mewat,Punhana,Ginger(Green),Other,FAQ,25/03/2025,4000,4000,4000
Haryana,Mewat,Punhana,Grapes,Other,Medium,25/03/2025,5000,5000,5000
Haryana,Mewat,Punhana,"Mousambi(Sweet Lime)",Other,Medium,25/03/2025,2500,2500,2500
Haryana,Mewat,Punhana,Onion,Other,FAQ,25/03/2025,2000,2000,2000
Haryana,Mewat,Punhana,Orange,Other,Medium,25/03/2025,5000,5000,5000
Haryana,Mewat,Punhana,Pumpkin,Other,FAQ,25/03/2025,700,700,700
Haryana,Mewat,Tauru,Apple,Other,Medium,25/03/2025,10000,10000,10000
Haryana,Mewat,Tauru,"Bhindi(Ladies Finger)",Bhindi,FAQ,25/03/2025,6000,6000,6000
Haryana,Mewat,Tauru,Ginger(Green),Other,FAQ,25/03/2025,5000,5000,5000
Haryana,Mewat,Tauru,Grapes,Other,Small,25/03/2025,5000,5000,5000
Haryana,Mewat,Tauru,Lemon,Other,FAQ,25/03/2025,8000,8000,8000
Haryana,Mewat,Tauru,Orange,Other,Medium,25/03/2025,6000,6000,6000
Haryana,Palwal,Hodal,Tomato,Deshi,Non-FAQ,25/03/2025,400,600,500
Haryana,Panchkula,Barwala,Cauliflower,Other,FAQ,25/03/2025,400,600,500
Haryana,Panipat,Panipat,Banana,Other,Medium,25/03/2025,2600,2800,2700
Haryana,Panipat,Panipat,Grapes,Other,Medium,25/03/2025,4000,5000,4500
Haryana,Panipat,Samalkha,"Bottle gourd","Bottle Gourd",FAQ,25/03/2025,1000,1000,1000
Haryana,Panipat,Samalkha,Cucumbar(Kheera),Cucumbar,FAQ,25/03/2025,1000,1000,1000
Haryana,Panipat,Samalkha,"Green Chilli","Green Chilly",FAQ,25/03/2025,5000,5000,5000
Haryana,Panipat,Samalkha,"Peas Wet","Peas Wet",FAQ,25/03/2025,2500,2500,2500
Haryana,Panipat,Samalkha,Raddish,Raddish,FAQ,25/03/2025,500,500,500
Haryana,Rohtak,Meham,Grapes,Other,Medium,25/03/2025,5200,6000,5500
Haryana,Rohtak,Meham,"Mousambi(Sweet Lime)",Mousambi,Medium,25/03/2025,3000,3200,3100
Haryana,Rohtak,Meham,Tinda,Other,FAQ,25/03/2025,400,400,400
Haryana,Rohtak,Rohtak,"Mousambi(Sweet Lime)",Other,Large,25/03/2025,2500,4000,3000
Haryana,Rohtak,Rohtak,Onion,Other,FAQ,25/03/2025,1500,2500,2000
Haryana,Sirsa,kalanwali,Cucumbar(Kheera),Other,FAQ,25/03/2025,1500,1500,1500
Haryana,Sirsa,kalanwali,Onion,Other,FAQ,25/03/2025,1500,1500,1500
Haryana,Sirsa,kalanwali,Tomato,Other,FAQ,25/03/2025,1500,1500,1500
Haryana,Sirsa,Rania,Cauliflower,"African Sarson",FAQ,25/03/2025,1000,1200,1100
Haryana,Sirsa,Rania,Onion,Other,FAQ,25/03/2025,1400,1600,1500
Haryana,Sirsa,Sirsa,Banana,Other,Medium,25/03/2025,2000,2000,2000
Haryana,Sirsa,Sirsa,Onion,Other,FAQ,25/03/2025,1100,2500,1800
Haryana,Sirsa,Sirsa,Potato,Other,FAQ,25/03/2025,400,800,500
Haryana,Sirsa,Sirsa,Tomato,Other,FAQ,25/03/2025,700,1100,1000
